nohup: ignoring input
###training start~~~~
hash_gan.py:286: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  epoch, itr, len(train_loader)*opt.batch_size, loss_d.data[0], loss_g.data[0]))
===> Epoch[0](78/58368): Loss_D: 116.9872665 Loss_G: 0.3970
===> Epoch[0](79/58368): Loss_D: 117.2379456 Loss_G: 0.3971
===> Epoch[0](80/58368): Loss_D: 118.6606827 Loss_G: 0.3967
===> Epoch[0](81/58368): Loss_D: 118.0742950 Loss_G: 0.3960
===> Epoch[0](82/58368): Loss_D: 117.0049362 Loss_G: 0.3957
===> Epoch[0](83/58368): Loss_D: 115.7652512 Loss_G: 0.3956
===> Epoch[0](84/58368): Loss_D: 116.5266113 Loss_G: 0.3957
===> Epoch[0](85/58368): Loss_D: 117.4458694 Loss_G: 0.3958
===> Epoch[0](86/58368): Loss_D: 118.1902237 Loss_G: 0.3965
===> Epoch[0](87/58368): Loss_D: 118.3539505 Loss_G: 0.3955
===> Epoch[0](88/58368): Loss_D: 115.9527740 Loss_G: 0.3954
===> Epoch[0](89/58368): Loss_D: 115.5314636 Loss_G: 0.3951
===> Epoch[0](90/58368): Loss_D: 116.0577621 Loss_G: 0.3948
===> Epoch[0](91/58368): Loss_D: 115.4379272 Loss_G: 0.3949
===> Epoch[0](92/58368): Loss_D: 117.6968536 Loss_G: 0.3951
===> Epoch[0](93/58368): Loss_D: 117.3802490 Loss_G: 0.3952
===> Epoch[0](94/58368): Loss_D: 116.1652374 Loss_G: 0.3941
===> Epoch[0](95/58368): Loss_D: 116.2078094 Loss_G: 0.3945
===> Epoch[0](96/58368): Loss_D: 116.5919952 Loss_G: 0.3945
===> Epoch[0](97/58368): Loss_D: 116.2629013 Loss_G: 0.3936
===> Epoch[0](98/58368): Loss_D: 116.5778427 Loss_G: 0.3927
===> Epoch[0](99/58368): Loss_D: 115.8709106 Loss_G: 0.3938
===> Epoch[0](100/58368): Loss_D: 115.2853546 Loss_G: 0.3938
===> Epoch[0](101/58368): Loss_D: 114.4913254 Loss_G: 0.3931
===> Epoch[0](102/58368): Loss_D: 115.9313278 Loss_G: 0.3930
===> Epoch[0](103/58368): Loss_D: 115.9085922 Loss_G: 0.3941
===> Epoch[0](104/58368): Loss_D: 114.4923935 Loss_G: 0.3934
===> Epoch[0](105/58368): Loss_D: 114.9007034 Loss_G: 0.3932
===> Epoch[0](106/58368): Loss_D: 115.4235687 Loss_G: 0.3932
===> Epoch[0](107/58368): Loss_D: 116.1392288 Loss_G: 0.3932
===> Epoch[0](108/58368): Loss_D: 115.0198288 Loss_G: 0.3922
===> Epoch[0](109/58368): Loss_D: 115.3192291 Loss_G: 0.3931
===> Epoch[0](110/58368): Loss_D: 115.0598679 Loss_G: 0.3912
===> Epoch[0](111/58368): Loss_D: 113.1317749 Loss_G: 0.3925
===> Epoch[0](112/58368): Loss_D: 114.2147141 Loss_G: 0.3928
===> Epoch[0](113/58368): Loss_D: 115.6320801 Loss_G: 0.3918
===> Epoch[0](114/58368): Loss_D: 113.6271362 Loss_G: 0.3906
===> Epoch[0](115/58368): Loss_D: 115.5121918 Loss_G: 0.3931
===> Epoch[0](116/58368): Loss_D: 115.0129471 Loss_G: 0.3915
===> Epoch[0](117/58368): Loss_D: 113.9439392 Loss_G: 0.3912
===> Epoch[0](118/58368): Loss_D: 112.8958817 Loss_G: 0.3919
===> Epoch[0](119/58368): Loss_D: 114.8760376 Loss_G: 0.3911
===> Epoch[0](120/58368): Loss_D: 114.6343689 Loss_G: 0.3911
===> Epoch[0](121/58368): Loss_D: 114.0688553 Loss_G: 0.3901
===> Epoch[0](122/58368): Loss_D: 112.9430618 Loss_G: 0.3904
===> Epoch[0](123/58368): Loss_D: 113.8113251 Loss_G: 0.3902
===> Epoch[0](124/58368): Loss_D: 113.9747620 Loss_G: 0.3906
===> Epoch[0](125/58368): Loss_D: 114.1239853 Loss_G: 0.3896
===> Epoch[0](126/58368): Loss_D: 111.8464737 Loss_G: 0.3903
===> Epoch[0](127/58368): Loss_D: 113.7247849 Loss_G: 0.3904
===> Epoch[0](128/58368): Loss_D: 111.8993378 Loss_G: 0.3899
===> Epoch[0](129/58368): Loss_D: 111.6863861 Loss_G: 0.3895
===> Epoch[0](130/58368): Loss_D: 113.0349274 Loss_G: 0.3902
===> Epoch[0](131/58368): Loss_D: 112.5126953 Loss_G: 0.3904
===> Epoch[0](132/58368): Loss_D: 113.6826019 Loss_G: 0.3893
===> Epoch[0](133/58368): Loss_D: 113.4519043 Loss_G: 0.3907
===> Epoch[0](134/58368): Loss_D: 112.3903961 Loss_G: 0.3896
===> Epoch[0](135/58368): Loss_D: 113.1426315 Loss_G: 0.3891
===> Epoch[0](136/58368): Loss_D: 110.7347412 Loss_G: 0.3894
===> Epoch[0](137/58368): Loss_D: 111.7617111 Loss_G: 0.3896
===> Epoch[0](138/58368): Loss_D: 111.9199982 Loss_G: 0.3892
===> Epoch[0](139/58368): Loss_D: 112.7654800 Loss_G: 0.3885
===> Epoch[0](140/58368): Loss_D: 112.7471008 Loss_G: 0.3883
===> Epoch[0](141/58368): Loss_D: 112.0293579 Loss_G: 0.3888
===> Epoch[0](142/58368): Loss_D: 112.9521713 Loss_G: 0.3889
===> Epoch[0](143/58368): Loss_D: 112.5728149 Loss_G: 0.3889
===> Epoch[0](144/58368): Loss_D: 112.6592331 Loss_G: 0.3891
===> Epoch[0](145/58368): Loss_D: 112.4591904 Loss_G: 0.3890
===> Epoch[0](146/58368): Loss_D: 113.3112030 Loss_G: 0.3875
===> Epoch[0](147/58368): Loss_D: 112.0923691 Loss_G: 0.3882
===> Epoch[0](148/58368): Loss_D: 112.6251068 Loss_G: 0.3886
===> Epoch[0](149/58368): Loss_D: 111.1603012 Loss_G: 0.3882
===> Epoch[0](150/58368): Loss_D: 112.1257782 Loss_G: 0.3879
===> Epoch[0](151/58368): Loss_D: 111.5799789 Loss_G: 0.3877
===> Epoch[0](152/58368): Loss_D: 111.5434494 Loss_G: 0.3878
===> Epoch[0](153/58368): Loss_D: 109.5825272 Loss_G: 0.3871
===> Epoch[0](154/58368): Loss_D: 112.7951584 Loss_G: 0.3879
===> Epoch[0](155/58368): Loss_D: 112.1541595 Loss_G: 0.3879
===> Epoch[0](156/58368): Loss_D: 110.3320999 Loss_G: 0.3870
===> Epoch[0](157/58368): Loss_D: 110.5758133 Loss_G: 0.3873
===> Epoch[0](158/58368): Loss_D: 110.3862152 Loss_G: 0.3870
===> Epoch[0](159/58368): Loss_D: 111.6221848 Loss_G: 0.3867
===> Epoch[0](160/58368): Loss_D: 111.8018570 Loss_G: 0.3874
===> Epoch[0](161/58368): Loss_D: 112.4364319 Loss_G: 0.3874
===> Epoch[0](162/58368): Loss_D: 111.7388916 Loss_G: 0.3870
===> Epoch[0](163/58368): Loss_D: 111.4326553 Loss_G: 0.3870
===> Epoch[0](164/58368): Loss_D: 109.1222382 Loss_G: 0.3860
===> Epoch[0](165/58368): Loss_D: 110.7957077 Loss_G: 0.3864
===> Epoch[0](166/58368): Loss_D: 111.5560760 Loss_G: 0.3872
===> Epoch[0](167/58368): Loss_D: 108.3096924 Loss_G: 0.3869
===> Epoch[0](168/58368): Loss_D: 111.7551422 Loss_G: 0.3865
===> Epoch[0](169/58368): Loss_D: 111.4344482 Loss_G: 0.3866
===> Epoch[0](170/58368): Loss_D: 110.4078445 Loss_G: 0.3862
===> Epoch[0](171/58368): Loss_D: 108.5050659 Loss_G: 0.3861
===> Epoch[0](172/58368): Loss_D: 110.4086990 Loss_G: 0.3857
===> Epoch[0](173/58368): Loss_D: 111.3746414 Loss_G: 0.3860
===> Epoch[0](174/58368): Loss_D: 111.1636276 Loss_G: 0.3854
===> Epoch[0](175/58368): Loss_D: 111.0169678 Loss_G: 0.3855
===> Epoch[0](176/58368): Loss_D: 109.8115921 Loss_G: 0.3856
===> Epoch[0](177/58368): Loss_D: 110.0590820 Loss_G: 0.3858
===> Epoch[0](178/58368): Loss_D: 110.2573242 Loss_G: 0.3856
===> Epoch[0](179/58368): Loss_D: 110.6550140 Loss_G: 0.3850
===> Epoch[0](180/58368): Loss_D: 110.7170029 Loss_G: 0.3844
===> Epoch[0](181/58368): Loss_D: 108.8216400 Loss_G: 0.3856
===> Epoch[0](182/58368): Loss_D: 109.3521957 Loss_G: 0.3851
===> Epoch[0](183/58368): Loss_D: 109.6001282 Loss_G: 0.3852
===> Epoch[0](184/58368): Loss_D: 110.5273895 Loss_G: 0.3857
===> Epoch[0](185/58368): Loss_D: 109.4031067 Loss_G: 0.3852
===> Epoch[0](186/58368): Loss_D: 108.7770538 Loss_G: 0.3848
===> Epoch[0](187/58368): Loss_D: 109.5255051 Loss_G: 0.3846
===> Epoch[0](188/58368): Loss_D: 108.4140091 Loss_G: 0.3846
===> Epoch[0](189/58368): Loss_D: 109.5951157 Loss_G: 0.3838
===> Epoch[0](190/58368): Loss_D: 108.0827179 Loss_G: 0.3850
===> Epoch[0](191/58368): Loss_D: 109.7739563 Loss_G: 0.3842
===> Epoch[0](192/58368): Loss_D: 110.0238953 Loss_G: 0.3842
===> Epoch[0](193/58368): Loss_D: 109.6105652 Loss_G: 0.3841
===> Epoch[0](194/58368): Loss_D: 109.4209213 Loss_G: 0.3842
===> Epoch[0](195/58368): Loss_D: 108.8722610 Loss_G: 0.3834
===> Epoch[0](196/58368): Loss_D: 108.9368515 Loss_G: 0.3840
===> Epoch[0](197/58368): Loss_D: 108.7736969 Loss_G: 0.3840
===> Epoch[0](198/58368): Loss_D: 109.4715805 Loss_G: 0.3846
===> Epoch[0](199/58368): Loss_D: 109.1357880 Loss_G: 0.3836
===> Epoch[0](200/58368): Loss_D: 107.0424118 Loss_G: 0.3832
===> Epoch[0](201/58368): Loss_D: 107.8326797 Loss_G: 0.3844
===> Epoch[0](202/58368): Loss_D: 107.5571671 Loss_G: 0.3841
===> Epoch[0](203/58368): Loss_D: 106.5206680 Loss_G: 0.3844
===> Epoch[0](204/58368): Loss_D: 107.6723938 Loss_G: 0.3836
===> Epoch[0](205/58368): Loss_D: 108.4721527 Loss_G: 0.3842
===> Epoch[0](206/58368): Loss_D: 107.8512802 Loss_G: 0.3833
===> Epoch[0](207/58368): Loss_D: 108.2194824 Loss_G: 0.3826
===> Epoch[0](208/58368): Loss_D: 108.7615585 Loss_G: 0.3834
===> Epoch[0](209/58368): Loss_D: 107.2880173 Loss_G: 0.3826
===> Epoch[0](210/58368): Loss_D: 109.7173920 Loss_G: 0.3829
===> Epoch[0](211/58368): Loss_D: 107.2384872 Loss_G: 0.3839
===> Epoch[0](212/58368): Loss_D: 107.9221649 Loss_G: 0.3827
===> Epoch[0](213/58368): Loss_D: 108.6442413 Loss_G: 0.3834
===> Epoch[0](214/58368): Loss_D: 107.7823639 Loss_G: 0.3835
===> Epoch[0](215/58368): Loss_D: 107.5189743 Loss_G: 0.3835
===> Epoch[0](216/58368): Loss_D: 109.2408905 Loss_G: 0.3819
===> Epoch[0](217/58368): Loss_D: 107.1976471 Loss_G: 0.3831
===> Epoch[0](218/58368): Loss_D: 106.1708145 Loss_G: 0.3814
===> Epoch[0](219/58368): Loss_D: 107.1380997 Loss_G: 0.3838
===> Epoch[0](220/58368): Loss_D: 107.6313400 Loss_G: 0.3826
===> Epoch[0](221/58368): Loss_D: 107.9821167 Loss_G: 0.3825
